Item Name,Dist. SKU,Brand,Pack,Size,Unit Type,Cases,Cost per Case
MILK SOY PLN TFF,971112,SILK,12 ,32 OZ,CS,1 ,$27.18
MINT MEDLEY CANDY WRAPPED ITAL,263407,ARCADE SNACKS,3 ,1600 CT,CS,1 ,$103.76
PRETZEL YOGURT COATED,240944,ARCADE SNACKS,1 ,15 LB,CS,1 ,$40.85
RSPBRY FLVR CONC,549349,MONIN,4 ,375 ML,CS,1 ,$38.67
SNACK MIX CHED ALE ALE NUTS,415945,ARCADE SNACKS,1 ,15 LB,CS,1 ,$41.09
SNACK MIX LAFAYETTE PLEASURES,269410,ARCADE SNACKS,1 ,25 LB,CS,1 ,$185.47
STRAWBERRIES WHL IQF TFF,24675,SIMPLOT,1 ,30 LB,CS,1 ,$53.66
SYRUP DESERT PEAR,908453,MONIN,4 ,1 LT,CS,1 ,$32.63
SYRUP MANGO,866320,MONIN,4 ,1 LT,CS,1 ,$30.40
SYRUP PEACH PET,853866,MONIN,4 ,1 LT,CS,1 ,$31.52
SYRUP POMEGRANATE,299967,MONIN,1 ,1 LT,CS,1 ,$8.76
SYRUP RSPBRY WILD,275653,MONIN,4 ,1 LT,CS,1 ,$31.73
SYRUP STRWBRY WILD,235874,MONIN,4 ,1 LT,CS,1 ,$31.73
SYRUP WILDBERRY,286213,MONIN,4 ,1 LT,CS,1 ,$30.40
WATERMELON FLVR CONC,549346,MONIN,4 ,375 ML,CS,1 ,$41.09
CANDY CHRISTMAS HOLLAND MINT,529089,ARCADE SNACKS,1 ,10 LB,CS,0 ,$0.00
PACKER MISCELLANEOUS ITEM,999999,PACKER,1 ,1 LB,EA,0 ,$0.00
